subdivision,class,order,total_size
Cnidaria,Scyphozoa,Rhizostomeae,2
Cnidaria,Scyphozoa,Semaeostomeae,3
Cnidaria,Staurozoa,Stauromedusae,2
Ctenophora,Tentaculata,Cydippida,2
Ctenophora,Tentaculata,Lobata,1
Ctenophora,Nuda,Beroida,1
Annelida,Clitellata,Crassiclitellata,4
Annelida,Clitellata,Enchytraeida,1
Annelida,Clitellata,Hirudinida,5
Annelida,Polychaeta,Phyllodocida,10
Annelida,Polychaeta,Polychaeta_X,1
Annelida,Polychaeta,Sabellida,5
Priapulida,Priapulimorpha,Priapulimorphida,1
Rotifera,Eurotatoria,Adinetida,8
Rotifera,Eurotatoria,Bdelloida,15
Rotifera,Eurotatoria,Philodinida,3
Rotifera,Eurotatoria,Ploima,7
Tardigrada,Eutardigrada,Parachela,4
Spiralia,Bryozoa,Phylactolaemata,1
Spiralia,Annelida,Golfingiida,1
Acanthocephala,Palaeacanthocephala,Echinorhynchida,1
Nemertea,Pilidiophora,Heteronemertea,2
Porifera,Demospongiae,Agelasida,2
Porifera,Demospongiae,Chondrillida,2
Porifera,Demospongiae,Dendroceratida,2
Porifera,Demospongiae,Haplosclerida,1
Porifera,Demospongiae,Poecilosclerida,2
Porifera,Demospongiae,Spongillida,2
Porifera,Demospongiae,Tetractinellida,1
Porifera,Demospongiae,Verongiida,2
Porifera,Homoscleromorpha,Homosclerophorida,4
