GCA_000001215
GCA_000001735
GCA_000001765
GCA_000002035
GCA_000002235
GCA_000002415
GCA_000002425
GCA_000002445
GCA_000002455
GCA_000002515
GCA_000002545
GCA_000002595
GCA_000002655
GCA_000002725
GCA_000002765
GCA_000002855
GCA_000002875
GCA_000002945
GCA_000002975
GCA_000002985
GCA_000003085
GCA_000003125
GCA_000003195
GCA_000003225
GCA_000003515
GCA_000003525
GCA_000003855
GCA_000004015
GCA_000004075
GCA_000004195
GCA_000004255
GCA_000004515
GCA_000004655
GCA_000004695
GCA_000005005
GCA_000005175
GCA_000005195
GCA_000005215
GCA_000005505
GCA_000006355
GCA_000006425
GCA_000006515
GCA_000006565
GCA_000018645
GCA_000026365
GCA_000026945
GCA_000090985
GCA_000091025
GCA_000091045
GCA_000092065
GCA_000142805
GCA_000142905
GCA_000142945
GCA_000143045
GCA_000143105
GCA_000143415
GCA_000143925
GCA_000146045
GCA_000146915
GCA_000146945
GCA_000147395
GCA_000148955
GCA_000149035
GCA_000149225
GCA_000149245
GCA_000149305
GCA_000149335
GCA_000149365
GCA_000149385
GCA_000149405
GCA_000149425
GCA_000149445
GCA_000149555
GCA_000149585
GCA_000149615
GCA_000149665
GCA_000149685
GCA_000149795
GCA_000149815
GCA_000149845
GCA_000149895
GCA_000149955
GCA_000150055
GCA_000150085
GCA_000150145
GCA_000150185
GCA_000150215
GCA_000150245
GCA_000150475
GCA_000150505
GCA_000150535
GCA_000150555
GCA_000150585
GCA_000150615
GCA_000150645
GCA_000150675
GCA_000150705
GCA_000150825
GCA_000150955
GCA_000150975
GCA_000151005
GCA_000151035
GCA_000151125
GCA_000151145
GCA_000151175
GCA_000151295
GCA_000151315
GCA_000151335
GCA_000151455
GCA_000151485
GCA_000151505
GCA_000151595
GCA_000151665
GCA_000151685
GCA_000165345
GCA_000165365
GCA_000165395
GCA_000166155
GCA_000166975
GCA_000166995
GCA_000167015
GCA_000167035
GCA_000167055
GCA_000167115
GCA_000167675
GCA_000169275
GCA_000170175
GCA_000170615
GCA_000170995
GCA_000171015
GCA_000172435
GCA_000179355
