name	Genome	NCBI_Taxid	superkingdom	phylum	class	order	family	genus	species
Anthracobia sp. CZU v1.0	Antsp2	2709752	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Anthracobia	Anthracobia sp.
Trichoderma atroviride SC1 v1.0	TriatSC1_1	63577	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma atroviride
Butyriboletus roseoflavus v1.0	Butyri1	1325616	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Butyriboletus	Butyriboletus roseoflavus
Pichia kudriavzevii YB-431	Pickudri1	4909	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia kudriavzevii
Calcarisporiella thermophila CBS 279.70	Calth1	911321	Eukaryota	Mucoromycota	NA	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila
Corynascus sepedonium ATCC9787	Corse1	190048	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	Corynascus sepedonium
Acremonium thermophilum ATCC 24622	Acrth1	223376	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium thermophilum
Aureobasidium pullulans ATCC 62921	Aurpu1	5580	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
Chaetomium olivicolor CBS 102434	Chaol1	1485946	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium olivicolor
Thermomyces dupontii NRRL 2155	Talth1	28565	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces dupontii
Rasamsonia byssochlamydoides NRRL 3658	Rasby1	89139	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia byssochlamydoides
Rasamsonia emersonii NRRL 3221	Talem1	68825	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia emersonii
Rhizomucor pusillus CBS 18367	Rhipu1	4840	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor	Rhizomucor pusillus
Thermoascus crustaceus CBS 18167	Thecr1	5088	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus	Thermoascus crustaceus
Thermoascus thermophilus ATCC 26413	Theth1	1131473	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus	Thermoascus thermophilus
Trametes versicolor ATCC 20869	Traver1	5325	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
Malbranchea cinnamomea CBS 34355	Malci1	5041	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Malbranchea	Malbranchea cinnamomea
Thermomyces stellatus CBS 21464	Theste1	2075419	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces stellatus
Oculimacula yallundae CBS 49480	Ocuya1	86028	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Oculimacula	Oculimacula yallundae
Thermomyces lanuginosus ATCC 200065	Thela1	5541	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces lanuginosus
Thermothelomyces fergusii CBS 405.69	Thefe1	2588716	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces	Thermothelomyces sp. XWW-2019c
Thermocarpiscus australiensis ATCC 28236	Thiau1	113626	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia australiensis
Thermothelomyces hinnuleus ATCC 52474	Thehi1	225406	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces	Thermothelomyces hinnuleus
Humicola hyalothermophila CBS 45480	Humhy1	1486343	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola hyalothermophila
Mycothermus thermophilus CBS 62091	Mycth1	85995	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Mycothermus	Mycothermus thermophilus
Remersonia thermophila ATCC 22073	Remth1	72144	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	NA	Remersonia	Remersonia thermophila
Mycothermus thermophilus CBS 62591	Mycthe1	85995	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Mycothermus	Mycothermus thermophilus
Thermothelomyces myriococcoides CBS 39893	Themy1	2588717	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces	Thermothelomyces sp. XWW-2019d
Hypomyces rosellus CCMJ2808	Hypros1	5132	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces rosellus
Hypomyces perniciosus HP10	Hypper1	2060699	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces perniciosus
Linnemannia zychae PUST F9C	MozyPUSTF9C_1	979765	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia zychae
Mortierella hygrophila NRRL 2591	MohyN2591_1	979708	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella hygrophila
Gryganskiella cystojenkinii 1230	Mocy1230_1	979690	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Gryganskiella	Gryganskiella cystojenkinii
Mortierella alpina AD072	MoalAD072_1	64518	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
Mortierella sp. 14UC	Mosp14UC_1	1896178	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. 14UC
Linnemannia camargensis NRRL 2610	MocaN2610_1	1897643	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia camargensis
Mortierella polycephala KOD 948	MopoKOD948_1	41804	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella polycephala
Mortierella alpina NRRL 66262	MoalN66262_1	64518	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
Mortierella antarctica KOD 1229	MoanKOD1229_1	979670	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella antarctica
Haplosporangium sp. NRRL A-10996	HapNA10996_1	1897647	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Haplosporangium	Haplosporangium sp. Z 767
Mortierella alpina AD071	MoalAD071_1	64518	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
Mortierella alpina GBA31	MoalGBA31_1	64518	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
Mortierella sp. NVP41	MospNVP41_1	1896192	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP41
Podila clonocystis KOD 947	MoclKOD947_1	979688	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila clonocystis
Podila humilis KOD 1050	MohuKOD1050_1	64523	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila humilis
Mortierella sp. GBA30	MospGBA30_1	1896187	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. GBA30
Mortierella sp. AD094	MospAD094_1	1896185	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD094
Actinomortierella ambigua BC1291	MoamBC1291_1	1343610	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella	Actinomortierella ambigua
Actinomortierella wolfii NRRL 66265	MowoN66265_1	90253	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella	Actinomortierella wolfii
Mortierella globulifera REB-010B	MoglREB010B_1	4855	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
Haplosporangium sp. NRRL A-10739	HapNA10739_1	1897648	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Haplosporangium	Haplosporangium sp. Z 11
Podila epicladia KOD 1059	MoepKOD1059_1	979697	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia
Mortierella claussenii NRRL 2760	MoclN2760_1	1343614	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella claussenii
Actinomortierella ambigua BC1065	MoamBC1065_1	1343610	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella	Actinomortierella ambigua
Linnemannia zychae NRRL 2592	MozyN2592_1	979765	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia zychae
Podila horticola CK413	MohoCK413_1	311239	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila horticola
Podila clonocystis AM1000	MoclAM1000_1	979688	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila clonocystis
Cercophora aff. caudata PSN171 v1.0	Ceraff1	42303	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	NA
Neocallimastix constans G3 v1.0	Neocon1	2316399	Eukaryota	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	Neocallimastix sp. G3
Xylaria pallida CIRM-BRFM 1448 v1.0	Xylpal1	1715255	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria sp.
Phialemonium globosum LMS 16-13 v1.0	Phiglo1	1093898	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	Phialemonium globosum
Asordaria arctica CBS 143.68 v1.0	Asoarc1	303332	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Asordaria	Asordaria arctica
Podospora tetraspora CBS 815.71 v1.0	Podtet1	343501	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora tetraspora
Vermiculariopsiella pediculata CBS 132484 v1.0	Verped1	1296272	Eukaryota	Ascomycota	Sordariomycetes	Vermiculariopsiellales	Vermiculariopsiellaceae	Vermiculariopsiella	Vermiculariopsiella pediculata
Hygrocybe coccinea JK88 v1.0	Hygcoc1	378274	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe coccinea
Cyathus pallidus NK-01 v1.0	Cyapal1	380665	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	Cyathus pallidus
Cyathus stercoreus NK-82 v1.0	Cyaste1	181520	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	Cyathus stercoreus
Pestalotiopsis sp. ATCC 11816 v1.0	Pes11816_1	36460	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis sp.
Neopestalotiopsis sp. LGMF1551 v1.0	Neo1551_1	1849553	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	Neopestalotiopsis sp.
Lobosporangium transversale NRRL 5525	EctrN5525_1	64571	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Lobosporangium	Lobosporangium transversale
Linnemannia elongata NVP71	MoelNVP71_1	310910	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia elongata
Gamsiella multidivaricata NRRL 6456	MomuN6456_1	101098	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Gamsiella	Gamsiella multidivaricata
Linnemannia elongata GBA40	MoelGBA40_1	310910	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia elongata
Dissophora ornata NRRL 22417	DiorN22417_1	979620	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Dissophora	Dissophora ornata
Entomortierella chlamydospora AD033	MochAD033_1	101097	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora
Mortierella globulifera AD054	MoglAD054_1	4855	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
Haplosporangium bisporale NRRL A-12553	HabiNA12553_1	1897645	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Haplosporangium	Haplosporangium bisporale
Mortierella sp. AD031	MospAD031_1	1896182	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD031
Entomortierella beljakovae KOD 1040	MobeAD1040_1	979673	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella beljakovae
Linnemannia gamsii NVP60	MogaNVP60_1	64522	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia gamsii
Haplosporangium sp. NRRL 3175	HaspN3175_1	1897644	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Haplosporangium	Haplosporangium sp. Z 27
Mortierella alpina CK1249	MoalCK1249_1	64518	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
Mortierella sp. GBA43	MospGBA43_1	1896190	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. GBA43
Linnemannia elongata GBA34	MoelGBA34_1	310910	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia elongata
Podila verticillata AD079	MoveAD079_1	78898	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila verticillata
Mortierella sp. AM989	MospAM989_1	1896186	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AM989
Podila verticillata TTC192	MoveTTC192_1	78898	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila verticillata
Mortierella sp. KOD 1030	MospKOD1030_1	1715235	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp.
Mortierella sp. AD032	MospAD032_1	1896183	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD032
Linnemannia schmuckeri NRRL 6426	MoscN6426_1	64567	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia schmuckeri
Entomortierella lignicola NRRL 2525	HaliN2525_1	979712	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella lignicola
Linnemannia exigua NRRL 28262	MoexN28262_1	604196	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia exigua
Linnemannia elongata NVP5	MoelNVP5_1	310910	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia elongata
Podila minutissima NVP1	MomiNVP1_1	64525	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila minutissima
Podila horticola AD009	MohoAD009_1	311239	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila horticola
Podila epigama NRRL 5512	MoepN5512_1	979699	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epigama
Mortierella sp. AD011	MospAD011_1	1896180	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD011
Podila minutissima AD069	MomiAD069_1	64525	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila minutissima
Mortierella sp. GBA35	MospGBA35_1	1896188	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. GBA35
Linnemannia gamsii AD045	MogaAD045_1	64522	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia gamsii
Podila verticillata NRRL 2611	MoveN2611_1	78898	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila verticillata
Mortierella sp. AD010	MospAD010_1	1896179	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. AD010
Mortierella sp. NVP85	MospNVP85_1	1896193	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. NVP85
Modicella reniformis MES-2147	MoreMES2147_1	1440133	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Modicella	Modicella reniformis
Entomortierella chlamydospora NRRL 2769	MochN2769_1	101097	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella chlamydospora
Podila epicladia AD058	MoepAD058_1	979697	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila epicladia
Mortierella sp. GBA39	MospGBA39_1	1896189	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp. GBA39
Cadophora malorum M34	CadmalM34_1	108018	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	Cadophora malorum
Cadophora sp. M221	CadmalM221_1	2774352	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	Cadophora sp. M221
Sistotrema brinkmannii OMC1754 v1.0	Sisbri1	139132	Eukaryota	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema brinkmannii
Helotiales sp. P8P42 v1.0	Pezci1	1206380	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Pezoloma	Pezoloma ciliiferum
Cochliobolus heterostrophus HAW225 v4.0	ChetHAW225_4	5016	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris maydis
Cochliobolus heterostrophus PR9b v4.0	ChetPR9b_4	5016	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris maydis
Cochliobolus heterostrophus C4 v6.0	CocheC4_6	5016	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris maydis
Morchella crassipes M84 v1.0	Morcra1	62754	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Morchella	Morchella crassipes
Pholiota sp. NL-8118 v1.0	Phosp1	13205	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	NA
Pleurotus ostreatus DSM 11191 v1.0	PleosDSM11191_1	5322	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus ostreatus
Hypoxylon investiens CIRM-BRFM 1445 v1.0	Hypinv1	326663	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon investiens
Neurospora intermedia FGSC 2613 v1.0	Neuin1	5142	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora intermedia
Trichoderma rossicum M135 v1.0	Triros1	202916	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma rossicum
Cronartium ribicola Cypress_4 v1.0	Crori1	27354	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Coleosporiaceae	Cronartium	Cronartium ribicola
Jumillera viridis CIRM-BRFM 2385 v1.0	Jumvir1	37989	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
Chalara hyalina CBS 558.92 v1.0	Chahya1	112121	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Chalara	Chalara hyalina
Xylaria crozonensis 398 v1.0	Xylcro1	743256	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria crozonensis
Rhizopus microsporus ATCC11559 v2.0	Rhimi59_2	58291	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus
Cortinarius saniosus 2018PMI107 v1.1	Corsan1_1	304786	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius saniosus
Pseudoneurospora amorphoporcata CBS626.80 v1.0	Gelamo1	29880	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Gelasinospora	NA
Mucor lusitanicus CBS277.49 v3.0	Mucci3	36080	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides
Copromyces sp. CBS 386.78 v1.0	CopCBS38678_1	252197	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Copromyces	Copromyces sp. CBS 386.78
Cladorrhinum samala PSN324 v1.0	Clasam1	585594	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Cladorrhinum	Cladorrhinum samala
Schizothecium conicum SC1-Ups v1.0	Schcon1	2650730	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Schizothecium	Schizothecium conicum
Cladorrhinum sp. PSN332 v1.0	Clasp332_1	2040734	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Cladorrhinum	Cladorrhinum sp.
Diplogelasinospora grovesii CBS 340.73 v1.0	Dipgro1	303347	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Diplogelasinosporaceae	Diplogelasinospora	Diplogelasinospora grovesii
Cladorrhinum sp. PSN259 v1.0	Clasp259_1	2040734	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Cladorrhinum	Cladorrhinum sp.
Cladorrhinum microsclerotigenum CBS 290.75 v1.0	Clamic1	711350	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Cladorrhinum	Cladorrhinum microsclerotigenum
Cercophora samala CBS 307.81 v1.0	Cersam1	330535	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	Cercophora samala
Phialemonium atrogriseum 8032-3 v1.0	Phiatr1	1093897	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	Phialemonium atrogriseum
Echria (Arnium) macrotheca PSN4 v1.0	Echmac1	438768	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Echria	Echria macrotheca
Podospora aff. communis PSN243 v1.0	Podcom1	5144	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
Apiosordaria verruculosa CBS 315.58 v1.0	Apiver1	192815	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apiosordaria	NA
Podospora decipiens PSN293 v1.0	Poddec1	261697	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Naviculisporaceae	Rhypophila	Rhypophila decipiens
Podospora fimiseda CBS 990.96 v1.0	Podfim1	252190	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora fimiseda
Podospora setosa CBS 892.96 v1.0	Podbra1	2587417	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora setosa
Podospora australis PSN309 v1.0	Podaus1	1536484	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora australis
Kriegeriales sp. isolate P6C61 v1.0	Krisp1	1298590	Eukaryota	Basidiomycota	Microbotryomycetes	Kriegeriales	NA	NA	NA
Morchella eximia CBS 144461 v1.0	Morexim1	1582338	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Morchella	Morchella eximia
Morchella tridentina NRRL54570 v1.0	Mortrid1	1582345	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Morchella	Morchella tridentina
Favolaschia claudopus CIRM-BRFM 2984 v1.0	Favcal1_2	2862362	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Favolaschiaceae	Favolaschia	Favolaschia sp. ZQ-2021c
Irpex lacteus DSM 1183 v1.0	Irplac1183_1	5319	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Irpex	Irpex lacteus
Parafenestella ontariensis EI-6 v1.0	Paront1	2911076	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Parafenestella	Parafenestella sp. EI-2022a
Venturia populina CBS256.38 v1.0	Venpo1	217476	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia populina
Helotiales sp. UNIPAMPA011 v1.0	Helsp1	1755440	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
Scleroderma yunnanense jo. v1.0	Sclyun1	1163567	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma yunnanense
Fusarium oxysporum f.sp. basilici Amherst-33 v1.0	Foxbas1	5507	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
Fusarium oxysporum f.sp. basilici Amherst-23 v1.0	Fobas23_1	5507	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
Cadophora sp. UNIPAMPA014 v1.0	Cadosp1	1755420	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Cadophora	Cadophora sp.
Porosterum spadiceum BS34 v1.0	Porspa1	103378	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Porostereum	Porostereum spadiceum
Skeletocutis biguttulata OMC1759 v1.0	Skebig1	83251	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Incrustoporiaceae	Skeletocutis	NA
Xylaria brunneovinosa YMJ720 v1.0	Xylbru1_1	492089	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria brunneovinosa
Scheffersomyces amazonensis UFMG-HMD-26.3 v1.0	Schama1	1078765	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces	Scheffersomyces amazonensis
Scheffersomyces cryptocercus NRRL Y-48824T v1.0	Schcry1	1276504	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces	Scheffersomyces cryptocercus
