name	Genome	NCBI_Taxid	superkingdom	phylum	class	order	family	genus	species
Tricharina praecox CBS 144465 v1.0	Tripra1	43433	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	Tricharina praecox
Mortierella elongata MPI-CAGE-AA-0104 v1.0	Morel_U14_1	310910	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia elongata
Golovinomyces cichoracearum UCSC1 v1.0	Golci1	62708	Eukaryota	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Golovinomyces	Golovinomyces cichoracearum
Peziza echinospora CBS 144458 v1.0	Pezech1	61495	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza echinospora
Pholiota molesta CBS 144467 v1.0	Phohig1	2066989	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	Pholiota molesta
Mortierella minutissima AD051 v1.0	Mormin1_1	64525	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila minutissima
Cladochytrium polystomum WB228 v1.0	Clapol1_1	2211651	Eukaryota	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Zopfochytrium	Zopfochytrium polystomum
Coemansia mojavensis RSA 71 v1.0	Coemoj1	4864	Eukaryota	Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Coemansia	Coemansia mojavensis
Phellinus igniarius CCBS 575 v1.0	Pheign1_1	40472	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus igniarius
Herpotrichia sp. AK1299 v1.0	Herpot1_1	1907527	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Herpotrichia	Herpotrichia sp. AK1299
Lasiosphaeriaceae sp. AZ0830 v1.0	Bombar1	2184036	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	Lasiosphaeriaceae sp. AZ0830
Psilocybe cubensis v1.0	Psicub1_1	181762	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis
Leptodontidium sp. MPI-SDFR-AT-0119 v2.0	Lepor2	75374	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA
Leotiomycetes sp. MPI-SDFR-AT-0126 v1.0	Phimu1	1709938	Eukaryota	Ascomycota	Leotiomycetes	NA	NA	NA	Leotiomycetes sp.
Boeremia exigua MPI-SDFR-AT-0100 v1.0	Boeex1	749465	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Boeremia	Boeremia exigua
Caecomyces churrovis A v1.0	Caecom1	2019372	Eukaryota	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Caecomyces	Caecomyces churrovis
Rhexocercosporidium sp. MPI-PUGE-AT-0058 v1.0	Rhesp1	2042821	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Rhexocercosporidium	Rhexocercosporidium sp. MPI-PUGE-AT-0058
Paecilomyces niveus CO7 v1.0	Bysni1	5093	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Paecilomyces	Paecilomyces niveus
Talaromyces borbonicus CBS 141340 	Talabor1	5094	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
Mycena rebaudengoi CBHHK068 v1.0	Mycreb1	1045383	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena rebaudengoi
Mycena floridula CBHHK072 v1.0	Mycflo1	1033242	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena floridula
Mycena amicta BAPX v1.0	Mycami1	380012	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena amicta
Mycena filopes CBHHK001 v1.0	Mycfil1	858877	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena filopes
Suillus cothurnatus VC 1858 v1.0	Suicot1	48568	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus cothurnatus
Lentinula raphanica INPA1701G ss19 v1.0	Lenrap1	153919	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula raphanica
Lentinula lateritia RHP3577 ss4 v1.0	Lenlat1	40482	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula lateritia
Lentinula afn. lateritia sp2 HRB7682 ss15 v1.0	Lenafn1	40482	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula lateritia
Lentinula edodes Le(Bin) 0899 ss11 v1.0	Lenedo1	5353	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula edodes
Plectosphaerella cucumerina RP01 v1.0	Plecuc1	40658	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella cucumerina
Gelasinospora tetrasperma v1.0	Gelte1	94610	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora tetraspora
Sordaria brevicollis FGSC1904 v1.0	Sorbr1	83679	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria brevicollis
Cercophora scortea SMH4131-1 v1.0	Cersc1	314031	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	Cercophora scortea
Aspergillus sclerotiorum CBS 549.65 v1.0	Aspsc1	138282	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotiorum
Aspergillus unguis CBS132.55 v1.0	Aspung1	40381	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus unguis
Aspergillus triticus CBS266.81 v1.0	Asptr1	478866	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tritici
Aspergillus roseoglobulosus CBS112800 v1.0	Aspros1	1250373	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus roseoglobulosus
Aspergillus venezuelensis CBS 868.97 v1.0	Aspven1	1810929	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus venezuelensis
Aspergillus welwitschiae CBS139.54b v1.0	Aspwel1	1341132	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus welwitschiae
Aspergillus restrictus CBS 118.33 v1.0	Aspres1	5064	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus restrictus
Aspergillus neoechinulatus CBS120.55 v1.0	Aspne1	2184044	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sp. JGI-2018a
Aspergillus amylovorus CBS 600.67 v1.0	Aspamy1	176161	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus amylovorus
Aspergillus neoauricomus CBS112787 v1.0	Aspneoa1	1883083	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus neoauricomus
Aspergillus chevalieri CBS 522.65 v1.0	Aspchev1	182096	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus chevalieri
Aspergillus parvulus CBS 136.61 v1.0	Aspparv1	41750	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus parvulus
Aspergillus brevijanus CBS 111.46 v1.0	Aspbrev1	176172	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus brevijanus
Aspergillus undulatus CBS 261.88 v1.0	Aspund1_1	1810928	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus undulatus
Aspergillus stercoraria CBS 428.93 v1.0	Aspstec1_1	1810892	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus stercorarius
Aspergillus filifera CBS 114510 v1.0	Aspfili1	447248	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus filifer
Aspergillus multicolor v1.0	Aspmul1_1	41759	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus multicolor
Aspergillus olivicola v1.0	Aspoli1_1	1250372	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus olivicola
Aspergillus desertorum CBS 653.73 v1.0	Aspdese1	1810909	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus desertorum
Aspergillus recurvatus v1.0	Asprec1_1	41761	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus recurvatus
Aspergillus stella-maris CBS 113639 v1.0	Aspstel1_1	1810926	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus stella-maris
Aspergillus acristatulus CBS 119.55 v1.0	Aspacri1	286159	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans
Aspergillus insolitus CBS 384.61 v1.0	Aspinso1	1131488	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus insolitus
