supergroup	division	subdivision	class	order	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Piperales	4	1159	55	0.026521284480127	4726	5937	5604.25
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Poales	370	5947	456	0.0302725500998041	4175	13247	5647.95945945946
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	8	242	55	0.056567372197436	4415	5995	5536.25
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	14	99	98	0.060553603915908	4617	6116	5596.92857142857
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	102	1407	127	0.0213089664409556	4342	6176	5719.42156862745
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Santalales	4	26	26	0.0896767669931842	4468	5834	5710
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	65	606	286	0.0239153081639008	4432	6128	5707.46153846154
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	1	29	2	0.00833940967573812	5809	5862	5809
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	190	2089	835	0.0602503906397662	4136	6998	5500.24736842105
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Trochodendrales	1	10	6	0.0368174956703635	4812	5888	5811
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Vitales	24	296	258	0.0266673471285365	4425	6075	5720.16666666667
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	9	953	164	0.0823339856316028	4229	6032	5521.22222222222
Archaeplastida	Viridiplantae	Streptophyta	Bryopsida	Bryales	1	13	1	0	6200	6200	6200
Archaeplastida	Viridiplantae	Streptophyta	Bryopsida	Funariales	2	23	6	0.00670911784424794	5836	6037	6004.5
Archaeplastida	Viridiplantae	Streptophyta	Bryopsida	Hypnales	5	320	4	0.00929842971162553	4525	5958	5714.2
Archaeplastida	Viridiplantae	Streptophyta	Bryopsida	Pseudoditrichales	2	8	2	0.00076246414224176	5911	5976	5945.5
Archaeplastida	Viridiplantae	Streptophyta	Lycopodiopsida	Isoetales	1	31	31	0.151274689531543	4810	6091	5964
Archaeplastida	Viridiplantae	Streptophyta	Lycopodiopsida	Lycopodiales	1	52	1	0	6019	6019	6019
Archaeplastida	Viridiplantae	Streptophyta	Lycopodiopsida	Selaginellales	2	46	2	0.000258419473567649	5771	6482	5791.5
Archaeplastida	Viridiplantae	Streptophyta	Pinopsida	Cupressales	10	2311	259	0.0770288572917063	4735	6406	6014.8
Archaeplastida	Viridiplantae	Streptophyta	Pinopsida	Pinales	4	2	2	0.0329177995378365	4517	5892	5458.75
Archaeplastida	Viridiplantae	Streptophyta	Mesostigmatophyceae	Mesostigmatales	2	18	1	0	5541	5925	5733
Archaeplastida	Viridiplantae	Streptophyta	Polypodiopsida	Polypodiales	3	24	7	0.0807888811960642	4500	6096	5857.33333333333
Archaeplastida	Viridiplantae	Streptophyta	Gnetopsida	Gnetales	1	1	1	0	6376	6376	6376
Archaeplastida	Viridiplantae	Streptophyta	Sphagnopsida	Sphagnales	1	2	1	0	6000	6000	6000
Archaeplastida	Viridiplantae	Streptophyta	Cycadopsida	Cycadales	1	539	537	0.0776162434469668	4438	6664	6301
Archaeplastida	Viridiplantae	Streptophyta	Takakiopsida	Takakiales	1	6	1	0	6051	6051	6051
Archaeplastida	Viridiplantae	Streptophyta	Polytrichopsida	Polytrichales	1	20	2	0.00747332660642883	6328	6347	6347
Archaeplastida	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	31	112	6	0.0150731170700041	4347	6620	5718.12903225806
Archaeplastida	Viridiplantae	Chlorophyta	Chlorophyceae	Sphaeropleales	12	104	2	0.000516530264887727	5376	5870	5680.75
Archaeplastida	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	16	3	1	0	5504	5575	5520.375
Archaeplastida	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellophyceae_X	1	1	1	0	5741	5741	5741
Archaeplastida	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	16	14	2	0.00021129444629049	4433	5967	5678.5
Archaeplastida	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae_X	11	14	6	0.00353789844785222	4521	7448	6048.54545454545
Archaeplastida	Viridiplantae	Chlorophyta	Picocystophyceae	Picocystales	2	10	2	0.00830256546073295	6619	6626	6621
Archaeplastida	Viridiplantae	Chlorophyta	Ulvophyceae	Bryopsidales	2	6	2	0.0040496810279569	5242	5614	5418.5
Archaeplastida	Viridiplantae	Chlorophyta	Ulvophyceae	Ulvales	2	4	1	0	5598	5603	5600.5
Archaeplastida	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	2	3	1	0	5633	5633	5633
Archaeplastida	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pseudoscourfieldiales	3	5	1	0	4586	5604	4925.66666666667
Archaeplastida	Viridiplantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	1	1	1	0	5678	5678	5678
Archaeplastida	Viridiplantae	Chlorophyta	Pedinophyceae	Marsupiomonadales	2	2	1	0	5645	5645	5645
Archaeplastida	Viridiplantae	Chlorophyta	Pedinophyceae	Pedinophyceae_X	1	6	1	0	5704	5704	5704
Archaeplastida	Rhodophyta	Rhodophyta	Bangiophyceae	Bangiales	1	8	1	0	5006	5006	5006
Archaeplastida	Rhodophyta	Rhodophyta	Bangiophyceae	Cyanidiales	13	12	10	0.00889734980496744	5729	6634	6502.76923076923
Archaeplastida	Rhodophyta	Rhodophyta	Bangiophyceae	Galdieriales	1	6	5	0.0244699824773225	6412	6441	6434
Archaeplastida	Rhodophyta	Rhodophyta	Bangiophyceae	Porphyridiales	1	8	4	0.00399222834692414	5738	5873	5738
Archaeplastida	Rhodophyta	Rhodophyta	Florideophyceae	Bonnemaisoniales	3	21	5	0.00347438230115585	5049	6175	5808.33333333333
Archaeplastida	Rhodophyta	Rhodophyta	Florideophyceae	Ceramiales	2	2	1	0	5918	6317	6117.5
Archaeplastida	Rhodophyta	Rhodophyta	Florideophyceae	Gigartinales	4	7	1	0	4694	5687	5422
Archaeplastida	Rhodophyta	Rhodophyta	Florideophyceae	Gracilariales	3	18	2	0.00449633399993965	5125	6231	5801.33333333333
