supergroup	division	subdivision	class	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Opisthokonta	Metazoa	Echinodermata	Echinoidea	6	10	2	0.00140936148810504	4792	6499	6095
Opisthokonta	Metazoa	Echinodermata	Holothuroidea	3	11	6	0.0015558082908364	5533	7051	6415.33333333333
Opisthokonta	Metazoa	Echinodermata	Asteroidea	14	28	2	0.0120159890928497	5345	5682	5525.14285714286
Opisthokonta	Metazoa	Echinodermata	Ophiuroidea	1	45	45	0.168448972808364	4772	6999	6879
Opisthokonta	Metazoa	Echinodermata	Crinoidea	2	710	6	0.00145794947492339	6093	10310	6221
Opisthokonta	Metazoa	Nematoda	Chromadorea	131	448	15	0.00755124780146185	4415	10248	5970.70229007634
Opisthokonta	Metazoa	Nematoda	Enoplea	1	1	1	0	6153	6153	6153
Opisthokonta	Metazoa	Platyhelminthes	Rhabditophora	2	679	76	0.0131993968001318	4910	11943	6823.5
Opisthokonta	Metazoa	Platyhelminthes	Trematoda	12	86	25	0.0105979390718313	4929	7239	6359.5
Opisthokonta	Metazoa	Cnidaria	Anthozoa	35	206	19	0.00768058497052812	4409	8136	5884.65714285714
Opisthokonta	Metazoa	Cnidaria	Hydrozoa	7	880	40	0.0197754548152403	5102	10417	5903.85714285714
Opisthokonta	Metazoa	Cnidaria	Scyphozoa	5	11	3	0.000219650813655857	5002	9527	6416.8
Opisthokonta	Metazoa	Cnidaria	Staurozoa	2	18	2	0.00259854243440998	5477	6034	5755.5
Opisthokonta	Metazoa	Ctenophora	Tentaculata	3	4	1	0	4558	5511	4954.66666666667
Opisthokonta	Metazoa	Ctenophora	Nuda	1	2	2	0.0657820534949755	6059	6236	6236
Opisthokonta	Metazoa	Annelida	Clitellata	10	44	6	0.000208080072972167	4663	10955	6654.2
Opisthokonta	Metazoa	Annelida	Polychaeta	16	646	6	0.00414268052700397	4440	10762	6585.4375
Opisthokonta	Metazoa	Priapulida	Priapulimorpha	1	1	1	0	7473	7473	7473
Opisthokonta	Metazoa	Rotifera	Eurotatoria	33	25	4	0.00184671224436718	4453	10979	6227.93939393939
Opisthokonta	Metazoa	Tardigrada	Eutardigrada	4	3	3	0.00227100494236437	5000	7748	6245.75
Opisthokonta	Metazoa	Spiralia	Bryozoa	1	4	1	0	6675	6675	6675
Opisthokonta	Metazoa	Spiralia	Annelida	1	49	1	0	5300	5300	5300
Opisthokonta	Metazoa	Acanthocephala	Palaeacanthocephala	1	46	15	0.000751740691595591	6064	10883	10776
Opisthokonta	Metazoa	Nemertea	Pilidiophora	2	4	1	0	6413	6415	6414
Opisthokonta	Metazoa	Porifera	Demospongiae	14	258	8	0.00928175790743668	4624	7588	6031.71428571429
Opisthokonta	Metazoa	Porifera	Homoscleromorpha	4	15	3	0.00657380217307583	5419	5991	5706.75
Opisthokonta	Fungi	Ascomycota	Saccharomycetes	1991	208	19	0.00223532290876843	4221	6584	5675.90055248619
Opisthokonta	Fungi	Ascomycota	Eurotiomycetes	838	54	16	0.00255423108631434	4307	6547	5522.84486873508
Opisthokonta	Fungi	Ascomycota	Schizosaccharomycetes	24	14	4	0.0034603825008944	4848	6226	6085.08333333333
Opisthokonta	Fungi	Ascomycota	Sordariomycetes	1837	1078	51	0.0151924812533659	4185	6721	5558.97713663582
Opisthokonta	Fungi	Ascomycota	Leotiomycetes	103	77	19	0.00702746311256158	4312	6173	5579.06796116505
Opisthokonta	Fungi	Ascomycota	Dothideomycetes	824	701	81	0.0343964956865144	4286	6448	5530.21237864078
Opisthokonta	Fungi	Ascomycota	Taphrinomycotina	1	1	1	0	5099	5099	5099
Opisthokonta	Fungi	Ascomycota	Pneumocystidomycetes	3	1	1	0	5620	6019	5882.33333333333
Opisthokonta	Fungi	Ascomycota	Orbiliomycetes	23	29	5	0.0970186500275012	4521	6905	5796.73913043478
Opisthokonta	Fungi	Ascomycota	Taphrinomycetes	3	1	1	0	5704	5719	5714
Opisthokonta	Fungi	Ascomycota	Pezizomycetes	28	11	8	0.0184480710492917	4343	6302	5812.64285714286
Opisthokonta	Fungi	Ascomycota	Lichinomycetes	1	3	1	0	5797	5797	5797
Opisthokonta	Fungi	Basidiomycota	Tremellomycetes	191	50	7	0.000780533436431417	4344	5837	5561.50785340314
Opisthokonta	Fungi	Basidiomycota	Malasseziomycetes	39	15	3	0.00273406222502066	4648	5981	5809.25641025641
Opisthokonta	Fungi	Basidiomycota	Agaricomycetes	314	243	26	0.00385866419488589	4376	6691	5690.16560509554
Opisthokonta	Fungi	Basidiomycota	Microbotryomycetes	120	61	24	0.00103400508931368	4420	5811	5637.525
Opisthokonta	Fungi	Basidiomycota	Pucciniomycetes	32	463	14	0.00709412365451287	4435	6093	5756.875
Opisthokonta	Fungi	Basidiomycota	Ustilaginomycetes	40	74	17	0.00653273716123	4397	5914	5784.35
Opisthokonta	Fungi	Basidiomycota	Mixiomycetes	2	6	1	0	4646	5740	5193
Opisthokonta	Fungi	Basidiomycota	Exobasidiomycetes	17	237	9	0.000232560997622457	4570	5820	5467.82352941176
Opisthokonta	Fungi	Basidiomycota	Moniliellomycetes	1	23	18	0.0105545184063946	4272	5500	4418
Opisthokonta	Fungi	Basidiomycota	Cystobasidiomycetes	8	12	2	0.000822107286551342	4589	5699	5368.375
Opisthokonta	Fungi	Mucoromycota	Mucoromycetes	49	68	5	0.00458079188582682	4548	6305	5767.83673469388
Opisthokonta	Fungi	Mucoromycota	Glomeromycetes	35	11	5	0.00995112538481078	4263	6646	5808.97142857143
Opisthokonta	Fungi	Mucoromycota	Mortierellomycetes	23	11	5	0.00107584607399962	4293	5964	5392.60869565217
Opisthokonta	Fungi	Mucoromycota	Umbelopsidomycetes	2	1	1	0	4585	5825	5205
Opisthokonta	Fungi	Chytridiomycota	Chytridiomycetes	20	11	1	0	4787	6409	5809.95
Opisthokonta	Fungi	Chytridiomycota	Neocallimastigomycetes	1	2	1	0	5680	5680	5680
Opisthokonta	Fungi	Chytridiomycota	Monoblepharidomycetes	1	5	1	0	5784	5784	5784
Opisthokonta	Fungi	Blastocladiomycota	Blastocladiomycetes	3	8	2	0.000915081067276375	4486	6058	6012.66666666667
Opisthokonta	Fungi	Zoopagomycota	Harpellomycetes	2	1	1	0	6630	6901	6765.5
Opisthokonta	Fungi	Zoopagomycota	Kickxellomycetes	36	20	2	0.00015589155493325	4855	7105	6049.63888888889
Opisthokonta	Fungi	Zoopagomycota	Zoopagomycetes	1	2	1	0	6503	6503	6503
Opisthokonta	Fungi	Zoopagomycota	Entomophthoromycetes	2	49	4	0.00357107168704883	5803	6012	5937.5
Opisthokonta	Fungi	Fungi_X	Cryptomycota	1	1	1	0	4706	4706	4706
Opisthokonta	Fungi	Aphelidiomycota	Aphelidea	1	5	1	0	5102	5102	5102
Opisthokonta	Fungi	Agaricomycotina	Tremellomycetes	8	1	1	0	4323	5678	5330.5
Opisthokonta	Filasterea	Filasterea_X	Filasterea_XX	2	3	1	0	5367	6611	5989
Opisthokonta	Ichthyosporea	Ichthyosporea_X	Ichthyosporea_XX	2	4	4	0.00624587095862467	5407	5486	5446
Opisthokonta	Opisthokonta_X	Opisthokonta_XX	Opisthokonta_XXX	1	1	1	0	5946	5946	5946
SAR	Alveolata	Apicomplexa	Aconoidasida	101	6	3	0.00329617930131484	5349	7187	6360.30693069307
SAR	Alveolata	Apicomplexa	Conoidasida	49	59	30	0.00234914367133553	4647	10794	6304.77551020408
SAR	Alveolata	Apicomplexa	Colpodellida	1	1	1	0	5675	5675	5675
SAR	Alveolata	Ciliophora	Spirotrichea	14	3	1	0	5531	6274	5677.92857142857
SAR	Alveolata	Ciliophora	Oligohymenophorea	11	1	1	0	5560	5594	5563.09090909091
SAR	Alveolata	Ciliophora	Litostomatea	3	1	1	0	5209	5231	5223.66666666667
SAR	Alveolata	Dinoflagellata	Dinophyceae	7	33	13	0.00963103425467006	5078	5844	5508.85714285714
SAR	Alveolata	Perkinzoa	Perkinzoa	2	2	1	0	5936	6044	5990
SAR	Rhizaria	Cercozoa	Chlorarachniophyceae	2	6	1	0	5820	5988	5904
SAR	Rhizaria	Cercozoa	Imbricatea	1	4	2	0.00591733292308635	5107	6545	6545
SAR	Rhizaria	Endomyxa	Phytomyxea	1	1	1	0	4702	4702	4702
SAR	Stramenopiles	Ochrophyta	Cryptophyceae	2	6	1	0	6190	6383	6286.5
SAR	Stramenopiles	Ochrophyta	Eustigmatophyceae	11	4	1	0	6059	6068	6062.54545454545
SAR	Stramenopiles	Ochrophyta	Phaeophyceae	8	376	3	0.00394308835019463	4931	6044	5798.875
SAR	Stramenopiles	Ochrophyta	Pelagophyceae	4	11	7	0.010912585572556	5310	5824	5753.75
SAR	Stramenopiles	Ochrophyta	Chrysophyceae	1	1	1	0	4799	4799	4799
SAR	Stramenopiles	Ochrophyta	Bolidophyceae	2	1	1	0	5825	5825	5825
SAR	Stramenopiles	Oomycota	Oomycetes	154	72	15	0.00853189917814611	4261	7317	6048.63636363636
SAR	Stramenopiles	Oomycota	Oomycota_X	3	17	2	0.000950601835404877	6255	6405	6311.33333333333
SAR	Stramenopiles	Bacillariophyta	Bacillariophyceae	17	16	12	0.00382388618701912	5079	6138	5808.58823529412
SAR	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	7	24	13	0.00176031450192448	4713	6401	5786.14285714286
SAR	Stramenopiles	Bacillariophyta	Fragilariophyceae	2	1	1	0	5185	6078	5631.5
SAR	Stramenopiles	Bacillariophyta	Mediophyceae	1	7	3	0.00597109947484021	5840	5955	5955
SAR	Stramenopiles	Bigyra	Opalozoa	13	19	19	0.00240864373961153	5279	6489	5671.76923076923
SAR	Stramenopiles	Bigyra	Labyrinthulomycetes	2	102	87	0.00938259636992237	4436	5762	5615.5
SAR	Stramenopiles	Oochropyhta	Xanthophyceae	2	48	2	0.00441133382035206	5262	6164	5554
